职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
音频编解码算法工程师-Data语音,ByteDance,,上海,本科及以上,5-7 年,,"1、开发可落地的音频编解码器，并与工程团队协作优化加速和延迟；
2、参与编解码算法的设计和实现，跟踪业界前沿的编解码进展（VQ、Diffusion/FM Based Codec等）；
3、研究和设计音频编解码的评价和测试体系。","1、硕士及以上学位，计算机科学、人工智能、语音处理、机器学习等专业优先；
2、深刻理解Neural Audio Codec的机制，熟悉SoundStream、EnCodec等经典模型的优缺点；
3、有丰富的神经网络实验经验，可以熟练的解决模型收敛、音质等问题的根因；
4、具备出色的编程能力，熟练掌握Python及PyTorch等训练框架；
5、在相关国际会议或期刊上发表论文者优先（ICASSP/InterSpeech/SLT/ICML/NeurlPS）。",,詹兰南,2025-12-03,,,,https://hire.feishu.cn/hunter/position?job_post_id=7579495848367835398
工业设计岗,墨奇智能,,深圳,--,--,,"1、主导轮式移动人形机器人的外观造型优化，配合硬件变更引起的造型设变修改，提升产品识别度与用户体验；​从零构建双足人形机器人的全向造型设计方案，平衡美学与运动机能需求（如关节活动空间、重心稳定性）;​
2、具备前瞻设计的思维理念，设计思路清晰，关注设计细节，能快速展现设计想法与创意概念，有独立完成设计项目的能力；​
3、收集行业市场产品信息和未来趋势资讯，进行市场调查、分析与整理，参与创新概念设计与实际产品开发；​
4、参与ID制定设计规范制定及设计工具赋能，并助力业务项目的设计提升；​
5．与市场、销售、研发团队验证设计想法，进一步完善产品。","1. 工业设计/产品设计相关专业本科及以上学历，需提供作品集（含曲面建模案例）；
2. 有人形机器人设计项目经验，熟悉机器人关节运动原理及人机工程约束（如双足平衡、轮式底盘空间布局）；
3.对机电一体化产品有敏锐美学感知，能平衡创新性与工程可实现性；
4.优秀的产品造型设计能力，精通参数化建模等软件，能结合项目要求快速输出设计草案及高品质的3D渲染效果图；
5.良好团队协作及沟通能力、务实谦逊，可高效对接结构/硬件/生产团队。",,Evan张爱文,2025-12-01,,,,https://hire.feishu.cn/hunter/position?job_post_id=7578874402092222783
运动控制算法工程师,墨奇智能,,深圳,--,--,,"1. 负责多自由度机械臂/高动态腿足机器人（单腿/四足/人形等）运动控制算法的设计、开发、仿真验证与落地应用，涵盖运动学正逆解、动力学建模与补偿、轨迹规划、伺服控制等核心模块。
2. 搭建并优化机械臂/腿足机器人仿真环境（如MATLAB/Simulink、ROS/Gazebo、Mujoco等），开展算法离线仿真测试、参数调优及性能验证，确保算法的稳定性与可靠性。
3. 负责机器人真机调试工作，解决算法在实际部署过程中出现的轨迹精度、动态响应、负载适应等问题，完成不同工况下的算法验证与优化。
4. 配合硬件工程师、结构工程师开展机械臂关节性能匹配、本体结构优化，机器人关节驱动、本体结构、足底传感等部件的性能匹配与优化工作，结合算法需求提出硬件改进建议，提升整机运动控制性能。
5. 参与机器人运控系统软件架构设计与开发维护，负责核心算法模块的代码实现与集成，保障系统稳定运行。
6. 跟进机器人运控领域前沿技术（如模型预测控制MPC、自适应控制、强化学习在机械臂控制中的应用等），开展技术预研与落地，提升产品技术竞争力。
7. 负责相关技术文档的编写、归档，包括算法设计文档、仿真报告、调试手册、技术方案等。","1. 全日制统招本科及以上学历，自动化、机械工程、机器人学、控制工程、计算机科学等相关专业，硕士学历优先，1年以上机械臂/腿足机器人运控算法开发经验。
2. 精通机械臂运动学、动力学建模与分析，熟悉轨迹规划（如关节空间规划、笛卡尔空间规划）、伺服控制、PID参数整定及现代控制理论（MPC、自适应控制等），或精通腿足机器人运动学、动力学建模与分析，熟悉步态规划、平衡控制、足底力控、轨迹跟踪及现代控制理论（MPC、WBC、自适应控制等）。
3. 具备扎实的编程能力，熟练使用C++/Python语言，熟悉ROS（ROS1/ROS2）开发，有机器人仿真平台（Gazebo、Mujoco、MATLAB/Simulink）使用经验者优先。
4. 具备机械臂真机调试经验，能够分析并解决实际运行中的精度、稳定性等问题，有工业机械臂或协作机械臂项目开发经验者优先。或具备腿足机器人真机调试经验，能够分析并解决实际运行中的步态稳定性、地形适应性等问题，有四足机器人或人形机器人项目开发经验者优先。
5. 拥有良好的数学功底，掌握线性代数、概率论与数理统计、自动控制原理等基础知识，具备独立开展算法设计与优化的能力。
6. 具备较强的学习能力、问题解决能力、沟通协调能力及团队协作精神，对机器人技术充满热情，能承受一定的项目压力。
7. 有顶会/顶刊论文发表、机器人竞赛获奖经历或核心算法专利者优先。",,Evan张爱文,2025-12-01,,,,https://hire.feishu.cn/hunter/position?job_post_id=7578849249619446062
具身智能AI算法工程师,墨奇智能,,深圳,--,--,,"1.负责具身智能领域的AI算法设计和研发，包括但不限于具身VLM/VLA、世界模型、多模态感知、三维重建、动作生成、强化学习等方向；
2.持续迭代算法能力，与上下游团队协作完成模型的大规模训练、推理优化、仿真及真机部署评测等工作；
3.在具身智能AI算法领域开展前沿创新性研究，跟踪最新研究进展，撰写技术报告和分享技术成果，提升团队技术影响力。","1.具有计算机、人工智能、机器人等相关领域的硕士或博士学历；
2.在计算机视觉、多模态大模型、机器人等AI相关领域具备扎实的理论基础和实践经验，掌握所在领域的主流AI算法；
3.熟练掌握Python等编程语言，熟悉PyTorch等深度学习框架，具备丰富的AI模型训练和调优经验；
4.对具身智能领域有强烈的兴趣和热情，能够快速学习，具备良好的沟通和协作能力。
加分项：
1.在CVPR/NeurIPS/ICLR/ICRA/CoRL等顶级学术会议或期刊上发表过论文，参与过有较大影响力的AI开源项目，或有过同等水平的研究经历和研究成果；
2.在AI学术会议Challenge、ACM-ICPC等编程竞赛、Kaggle等AI竞赛、RoboCup等机器人竞赛中获得过突出奖项；
3.在具身智能相关领域有过扎实的研究经历或从业经历，熟悉主流的具身智能VLA模型及其训练策略，熟悉常见的机器人仿真平台，具有丰富的真机部署和算法调优经验。",,Evan张爱文,2025-12-01,,,,https://hire.feishu.cn/hunter/position?job_post_id=7578848332538841407
客户端负责人-TikTok搜索,ByteDance,,上海,本科及以上,7-10 年,,"1、负责TikTok搜索业务方向iOS&Android团队的管理；
2、配合业务完成关键模块技术选型、方案推进，带领团队实现落地；
3、负责App架构设计、性能优化、前沿技术探索与应用；
4、负责客户端团队搭建、人才培养和团队管理；
5、优化客户端团队的开发模式、流程和规范，提高。","1、5年以上iOS或Android开发经验，2年以上团队管理经验，能够打造快速进步的优秀团队，有跨双端的经验优先；
2、扎实的计算机、iOS或Android开发相关基础、精通OC/Swift等开发语言；
3、精通多线程和网络编程，对高性能程序设计、架构设计有较多经验，能快速搭建、调试或重构软件代码；
4、对复杂业务架构理解力强，熟练应用设计模式处理业务场景，产出高质量设计；对系统解耦、客户端稳定性和性能优化有体系化思考；
5、有良好的沟通协作能力，对于疑难问题能够深入钻研、进行攻坚。",,孙博晨,2025-12-01,,,,https://hire.feishu.cn/hunter/position?job_post_id=7578791773398763785
审核策略Leader-抖音电商,ByteDance,,上海,本科及以上,7-10 年,,"1、负责抖音电商审核策略的制定和运营，监控策略运营效果，保障策略的合理性和执行的一致性，确保平台风险得以有效拦截；
2、与治理策略/运营/审核基地密切配合，持续监控并优化现有审核策略，优化审核标准和执行SOP，快速与各方拉齐并落地解决方案；
3、跟产品配合，做好审核工具的建设，提升大模型审核质量和覆盖率，提高人审准确率及时效性。","1、有较强的逻辑能力和数据洞察力，能够通过业务数据变化精准定位系统和机制问题并推动解决；
2、有团队管理经验，优秀的跨部门沟通协调、项目管理和推动能力，能够有效推进问题解决，保障目标达成；
3、有机审模型建设经验者优先。",,毕篮心,2025-11-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7569935346139482414
蜂窝网络场景优化资深工程师/专家-豆包手机助手,ByteDance,,北京,本科及以上,3-5 年,,"1、负责设计：在电梯、地库、地铁、高铁、机场、边境等特定场景下，为用户提供极致移动网络体验的优化方案，并带队完成方案交付；
2、负责从移动通信专业角度支持蜂窝移动网络相关的场景感知AI算法的调研和应用；
3、负责通过AI场景感知，云端大数据，用户习惯等技术手段，提出创新型的终端移动网络优化技术点。","1、熟悉3GPP通信协议，并掌握关键通信流程（如搜网流程、小区切换/重选、异系统切换等）；
2、熟悉Android系统，熟悉Telephony-RIL模块；
3、具有C/C++扎实的编程功底，良好的设计能力和编程习惯；
4、有使用深度学习或机器学习在蜂窝网络场景优化领域的开发经历，熟悉AI/ML框架TensorFlow、PyTorch、Scikit-Learn等；
5、有处理大型数据集、数据分析和确保数据有效性的实践经历为加分项。",,王梦雨,2025-11-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7576910164977846571
高级UI设计师-豆包输入法,ByteDance,,北京,本科及以上,5-7 年,,"1、负责豆包输入法产品视觉&交互设计，熟练掌握设计系统的搭建，并能够主导某个产品从概念到设计落地全流程；
2、深入理解业务，和产品经理合作，制定视觉设计策略，完成产品UI设计落地；
3、探索创新设计概念，能在成熟品类中打磨体验细节；
4、和研发工程师合作，把控线上产品体验品质，保障像素级还原；
5、具备用户视角，重视用户反馈，并主动洞察体验痛点和需求。","1、具备优秀的审美和设计能力，设计相关专业本科及以上学历；
2、具备用户体验设计相关经验，有成熟项目经历及作品；
3、具备一定的系统思维和成熟的设计执行能力；熟悉安卓&iOS界面设计规范，具备动效设计能力；
4、充满好奇心，能够敏锐把握设计趋势，积极探索创新解决方案并推动实施；
5、有移动端、PC端等产品视觉设计经验者优先。",,詹兰南,2025-11-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7576911077276289322
服务端研发工程师-豆包输入法,ByteDance,,上海,本科及以上,5-7 年,,"1、负责豆包输入法的后端研发，服务优化，提升产品体验和稳定性；
2、持续探索在各种场景下，利用AI能力增强产品体验，提升工程效率；
3、研究和应用新技术，并推动适合的技术应用于生产，解决业务的实际问题。","1、本科及以上学历，计算机相关专业，3年以上服务端开发经验，对高并发、高可用架构系统有深刻的理解；
2、扎实的计算机基础知识，丰富后端研发经验，熟悉Go、Rust、Python及相应框架环境和常用技术组件；
3、深刻理解计算机原理，有良好的数据结构和算法基础；
4、积极乐观，责任心强，学习能力强，工作认真细致，具有良好的团队沟通、协作能力和求知欲。",,詹兰南,2025-11-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7576898759461488923
Windows研发工程师-豆包输入法,ByteDance,,北京,本科及以上,5-7 年,,"1、负责豆包输入法Windows客户端开发工作， 深度参与需求评审和功能定制，共同保证产品迭代顺利推进；
2、参与客户端品质优化、架构设计、AI和大模型相关功能的研发工作，推动团队技术体系建设；
3、关注前沿技术，结合业务特点，推动新技术落地。","1、本科及以上学历，计算机相关专业，3年及以上相关Windows研发经验；
2、精通C/C++开发，熟练使用Visual Studio，WinDBG等开发调试工具；
3、深入理解Windows系统机制，熟悉STL、多线程、数据结构和算法，设计模式基础扎实；
4、熟悉Windows界面开发技术，如DirectX，WPF等；
5、良好的团队合作精神，具备较强的沟通能力和学习能力，有输入法经验者优先。",,詹兰南,2025-11-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7576877270154742058
商家服务产品资深专家-抖音电商,ByteDance,,北京,本科及以上,3-5 年,,"1、负责抖音电商消费者与商家沟通的IM产品，设计IM在抖音的入口、消息透出和产品交互逻辑，协同内部多团队，确保服务策略的落地，提升用户体验；
2、负责用户沟通反馈信号收集、售前售中售后的策略设计，能根据不同场景，设计合理的解决方案，建立分人群/场景的客服服务思维；
3、承担管理职责，进行产品规划和设计迭代，与相关合作方达成一致，识别产品关键点及优先级，设计有效跟踪策略，推动产品落地。","1、本科及以上学历，有C端产品经验；
2、具备电商客服产品经验、服务权益、售前导购、售后履约经验优先；
3、对商家/消费者具有同理心，能够抽象分析商家/用户诉求，设计合理的解决方案，并具备快速推进产品落地的能力；
4、具备缜密的逻辑思维能力，良好的跨团队沟通与协调能力，积极应对挫折和挑战的心理素质，自驱，有目标感。",,赵健婷,2025-11-25,,,,https://hire.feishu.cn/hunter/position?job_post_id=7369856719658469658
AIGC视频生成算法工程师-火山方舟,ByteDance,,北京,本科及以上,不限,,"1、优化Seedance系列模型，为模型的通用能力提升相关技术负责，同时重点关注模型在影视、动漫、广告、营销等生产力场景的效果；
2、解决生成视频生成中的一致性、运动质量、稳定性等核心研究难题；
3、紧跟生成方向的最新研究动态（理解生成统一、超长视频生成、流式互动视频生成等），并对创新想法进行原型验证。","1、在多模态、AIGC等一个或多个领域有较深入的研究者，熟悉生成相关技术路线（扩散模型，自回归模型等），有大规模训练经验、AIGC、VLM、音视频生成等相关经验；
2、动手能力强，具有熟练的算法和编程能力，熟悉C/C++和Python编程；
3、工作积极主动，能与团队融洽合作相处，同时能够独立完成研究工作；
4、具有优秀的基础算法、扎实的机器学习基础，熟悉CV、AIGC、NLP、RL、ML等领域的技术，在CVPR、ECCV、ICCV、NeurIPS、ICLR、SIGGRAPH或SIGGRAPH Asia等顶级会议/期刊上发表论文者优先。",,杜英英,2025-11-24,,,,https://hire.feishu.cn/hunter/position?job_post_id=7576183492699408681
用户增长Leader-TikTok Shop,ByteDance,,上海,本科及以上,5-7 年,,"1、负责海外市场的用户增长（拉新、促活、复购），基于市场洞察和数据分析进行策略设计并落地；
2、适配用户生命周期，制定差异化的运营策略或创新产品方案，手段包括补贴、投放、玩法工具；
3、通过市场研究和数据分析，制定合理的补贴和投放标准，优化运营能力和经营效率；
4、持续加强对海外市场的理解，和供给/产品/算法等团队等紧密合作，推动方案和产品的产出及落地。","1、本科及以上学历，3-5年用户增长、营销产品、数据分析或咨询经验，有跨境电商/内容电商经验优先；
2、具备较高的数据逻辑和数据敏感性，熟练使用SQL、Excel，掌握分析工具如R，Python，SAS等加分；
3、有结合数据和用户洞察、制定增长策略或产品的具体实践案例，对用户购买决策路径有良好的敏感度；
4、英文可作为工作语言、有海外生活或工作经验加分；
5、责任心强、可跨部门沟通和处理问题；有一定抗压能力，快速适应变化；接受国际出差。",,陆悦Bella,2025-11-24,,,,https://hire.feishu.cn/hunter/position?job_post_id=7481563874085980425
AI音乐产品运营-Data语音,ByteDance,,北京,本科及以上,5-7 年,,"1、基于产品战略目标，进行用户研究与需求洞察，与产品及模型团队合作推动功能迭代，持续优化创作体验与业务核心指标；
2、搭建产品数据指标体系，监控生成路径、创作体验、留存等关键指标，通过数据分析识别增长机会与体验痛点；
3、负责产品种子用户体系建设，包括招募、群运营、共创反馈与版本灰度体验，确保高质量反馈闭环；
4、与模型研发团队紧密协同，搭建用户反馈机制，在功能体验、模型生成质量、创作流程等方面，形成结构化洞察并推动产品与模型体验持续优化。","1、具备互联网产品运营相关经验，具备音乐/音频行业背景，对音乐创作流程、内容生态或AIGC音频技术有基础理解；
2、具备扎实的数据分析能力，可独立完成指标监控、漏斗分析与数据驱动的策略制定；
3、具备较强的用户洞察能力，有用户研究、创作者运营或种子用户体系建设经验者优先；
4、具备优秀的项目管理与跨团队协调能力，能够在复杂场景下推进产品、模型的协同落地；
5、具备高度的责任心和结果导向意识，学习能力强，能在快速变化的环境中自我驱动。",,詹兰南,2025-11-20,,,,https://hire.feishu.cn/hunter/position?job_post_id=7574764370993105195
基础架构高级工程师-云计算/存储/系统架构,ByteDance,,北京,本科及以上,7-10 年,,"1、负责今日头条云计算、分布式存储设施的构建和优化；
2、负责基础设施的可用性和稳定性保障。","1、熟悉TCP/IP协议，熟练掌握Linux网络编程和多线程编程技术；
2、熟练掌握Linux环境下的C/C++/Go/Python/Shell/PHP等一种以上编程语言；
3、有较强的系统问题分析经验和能力，能够解决复杂的系统问题；
4、了解Kubernetes/Mesos/SwarmKit等编排服务框架优先；有分布式文件、KV、数据库存储经验优先；
5、具有系统性能分析及优化经验者优先；
6、开源社区活跃贡献者优先。",,吴梦莹,2025-11-18,,,,https://hire.feishu.cn/hunter/position?job_post_id=7110062902535473439
C++ SDK研发工程师-豆包输入法,ByteDance,,北京,本科及以上,5-7 年,,"1、负责豆包输入法引擎SDK的设计、开发、优化等工作；
2、参与系统总体架构和功能设计，负责核心模块的性能、算法优化；
3、响应产品功能需求，优化引擎策略，持续提升产品品质；
4、负责客户端、云端的AI模型落地和优化工作。","1、本科及以上学历，计算机相关专业毕业；
2、操作系统基础扎实，对内存、进程等技术点有深入理解；
3、熟练掌握C/C++，数据结构、算法基础扎实；
4、学习能力强，有独立分析问题、解决问题的能力，勇于接受挑战；
5、沟通顺畅，踏实诚恳，有较强责任心和团队意识；
6、熟悉深度学习推理框架，有模型落地及优化经验者加分。",,詹兰南,2025-11-17,,,,https://hire.feishu.cn/hunter/position?job_post_id=7573340096255543598
内容运营产品负责人-抖音电商,ByteDance,,上海,本科及以上,7-10 年,,"1、整体负责商家平台的学习中心的内容规划，围绕商家充分了解平台政策与规则、学习平台经营方法、用好经营工具做好内容规划并提供及时、优质的内容；
2、做好平台规则中心的运营管理，制定多方协同的运营机制，提升准确性、提升及时性、提升易读性、提升有用性；
3、做好经营方法的内容生产，包括电商课程、行业资讯、优秀案例等，为商家从入门到进阶提供全链路的内容支持；
4、做好重点经营工具、基础产品链路的操作指引，提升商家自助率、减少使用过程的疑问。","1、有非常强的内容理解与内容运营能力，有过成功案例；
2、有非常强的同理心与经营意识，能够站在商家视角做好内容规划、内容质量评估；
3、有一定的数据运营意识，能够通过数据发现机会、反馈问题、验证有效性；
4、有良好的沟通协同能力，能够适应快节奏工作。",,赵子航,2025-11-14,,,,https://hire.feishu.cn/hunter/position?job_post_id=7529870499448801578
